Season,Week,PlayerID,Name,Team,Opponent,HomeOrAway,Position,Receptions,ReceivingYards,ReceivingTouchdowns,RushingYards,RushingTouchdowns,PassingYards,PassingTouchdowns,FumblesLost,FantasyPoints,FantasyPointsPPR,TotalYards,TotalTDs,source_file
2024,5,22496,Mac Jones,JAX,IND,HOME,QB,0.0,0.0,0.0,0.1,0.0,5.9,0.0,0.0,0.25,0.25,6.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23298,Raheem Blackshear,CAR,CHI,AWAY,RB,0.2,1.3,0.0,1.1,0.0,0.0,0.0,0.0,0.24,0.44,2.4000000000000004,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24463,Julian Hill,MIA,NE,AWAY,TE,0.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.64,2.4,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,25141,Tip Reiman,ARI,SF,AWAY,TE,0.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.54,2.4,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,21723,James Proche II,CLE,WAS,AWAY,WR,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,2.2,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,20679,KhaDarel Hodge,ATL,TB,HOME,WR,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,2.1,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,19330,Nick Mullens,MIN,NYJ,HOME,QB,0.0,0.0,0.0,0.3,0.0,4.3,0.0,0.0,0.2,0.2,4.6,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,22627,Ronnie Bell,SF,ARI,HOME,WR,0.2,1.9,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.4,2.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24310,Jordan Mims,NO,KC,AWAY,RB,0.2,0.7,0.0,1.3,0.0,0.0,0.0,0.0,0.2,0.4,2.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,21760,Isaiah Hodgins,NYG,SEA,AWAY,WR,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,1.8,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23737,Tanner Conner,MIA,NE,AWAY,TE,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,1.8,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,19209,Patrick Ricard,BAL,CIN,AWAY,RB,0.0,1.5,0.0,0.1,0.0,0.0,0.0,0.0,0.16,0.16,1.6,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,25133,Bub Means,NO,KC,AWAY,WR,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.26,1.6,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18811,Mitchell Trubisky,BUF,HOU,AWAY,QB,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.15,0.15,3.7,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23192,Chris Brooks,GB,LAR,AWAY,RB,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.15,0.15,1.5,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24944,Jonathon Brooks,CAR,CHI,AWAY,RB,0.0,0.4,0.0,1.1,0.0,0.0,0.0,0.0,0.15,0.15,1.5,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18030,Chris Moore,ARI,SF,AWAY,WR,0.1,1.3,0.0,0.1,0.0,0.0,0.0,0.0,0.14,0.24,1.4,0.0,nfl_2024_week5_skill_positions_projections.csv
